URL,zimu_num,shuzi,zifu_num,url_T_num,inner,out,sum,bili,req_type_num,hanjian_host_num
http://www.espdesign.com.au,21,0,6,0,0,2,2,0,1,0
http://www.slightlyoffcenter.net,27,0,5,0,2,0,2,1,1,1
http://tubemoviez.com,17,0,4,0,41,10,51,0.803921569,4,1
http://www.pos-kupang.com,19,0,6,1,0,0,0,0,1,1
http://www.rupor.info,16,0,5,0,100,123,223,0.448430493,47,31
http://www.venez.fr,14,0,5,0,23,44,67,0.343283582,12,4
http://www.sunlux.net,16,0,5,0,0,0,0,0,1,1
http://www.outporn.com,17,0,5,0,0,26,26,0,3,2
http://www.timothycopus.aimoo.com,27,0,6,0,2,0,2,1,1,1
http://www.interia.pl,16,0,5,0,29,175,204,0.142156863,22,8
http://www.ruiyangcn.com,19,0,5,0,0,0,0,0,1,1
http://zkic.com,11,0,4,0,16,7,23,0.695652174,5,2
http://820.dopa.com,11,3,5,0,26,58,84,0.30952381,10,2
http://www.juicypussyclips.com,25,0,5,0,0,0,0,0,1,1
http://www.nuptialimages.com,23,0,5,0,0,0,0,0,1,1
http://www.bezproudoff.cz,20,0,5,0,1,0,1,1,1,1
http://parking.zunmi.cn,18,0,5,0,1,2,3,0.333333333,6,4
http://www.hotspot.cz,16,0,5,0,0,2,2,0,2,1
http://www.hlinik-nerez.cz,20,0,6,1,52,5,57,0.912280702,4,1
http://www.hlinik-nerez.cz,20,0,6,1,51,5,56,0.910714286,4,1
http://www.nordiccountry.cz,22,0,5,0,0,0,0,0,1,1
http://www.hlinik-nerez.cz,20,0,6,1,53,5,58,0.913793103,4,1
http://www.hlinik-nerez.cz,20,0,6,1,13,3,16,0.8125,4,2
http://www.nowina.info,17,0,5,0,12,1,13,0.923076923,2,1
http://www.obada-konstruktiwa.org,27,0,6,1,0,0,0,0,1,1
http://www.otylkaaotesanek.cz,24,0,5,0,8,0,8,1,1,0
http://pb-webdesign.net,18,0,5,1,0,0,0,0,1,1
http://www.pension-helene.cz,22,0,6,1,7,0,7,1,1,0
http://www.podzemi.myotis.info,24,0,6,0,1,0,1,1,1,0
http://www.smrcek.com,16,0,5,0,10,7,17,0.588235294,3,1
http://www.spekband.com,18,0,5,0,0,0,0,0,1,1
http://www.worldgymperu.com,22,0,5,0,0,0,0,0,1,1
http://www.hugedomains.com,21,0,5,0,33,1,34,0.970588235,4,2
http://www.aviasales.ru,18,0,5,0,15,54,69,0.217391304,24,11
http://www.realinnovation.com,24,0,5,0,6,2,8,0.75,5,1
http://1.1.1.3,4,4,6,0,1,0,1,1,1,0
http://404.szm.com,10,3,5,0,5,4,9,0.555555556,5,2
http://www.noveslovo.com,19,0,5,0,15,2,17,0.882352941,3,2
http://www.dimsnetwork.com,21,0,5,0,0,0,0,0,1,1
http://ww1.luckyblank.info,20,1,5,0,1,0,1,1,1,1
http://parking.zunmi.cn,18,0,5,0,1,201,202,0.004950495,7,3
http://www.luckyclear.info,21,0,5,0,0,0,0,0,1,1
http://www.luckyeffect.info,22,0,5,0,0,0,0,0,1,1
http://ww1.luckyhalo.info,19,1,5,0,0,11,11,0,5,1
http://ww1.luckypure.info,19,1,5,0,1,0,1,1,1,1
http://parking.zunmi.cn,18,0,5,0,1,177,178,0.005617978,6,2
http://parking.zunmi.cn,18,0,5,0,1,72,73,0.01369863,7,3
http://www.luckysuccess.info,23,0,5,0,0,0,0,0,1,1
