rank,link,zimu_num,shuzi,zifu_num,url_T_zifu_num,inner,out,sum,bili,iframe_num,location_num,eval_num,setTimeout_num,setInterval_num,scriptObjectsrc_num,scriptObjectsetAttribute_num,scriptObjectinnerHTML_num,windowopen_num,label
1,http://www.baidu.com,15,0,5,0,4,18,22,0.181818182,0,6,2,3,0,0,0,0,0,0
2,http://www.qq.com,12,0,5,0,62,114,176,0.352272727,0,5,0,0,0,0,0,0,5,0
3,http://www.tmall.com,15,0,5,0,27,209,236,0.11440678,1,1,0,0,0,0,0,0,0,0
4,http://www.taobao.com,16,0,5,0,16,132,148,0.108108108,4,1,0,0,0,0,0,0,0,0
5,http://www.sohu.com,14,0,5,0,950,1934,2884,0.329403606,0,1,0,0,0,0,0,0,1,0
6,http://www.jd.com,12,0,5,0,70,357,427,0.163934426,0,8,2,2,0,0,0,0,3,0
7,http://www.weibo.com,15,0,5,0,32,1076,1108,0.028880866,0,9,0,1,0,0,0,0,9,0
8,http://www.sina.com.cn,16,0,6,0,9,0,9,1,10,4,3,13,4,0,0,0,0,0
9,http://www.360.cn,9,3,5,0,33,1678,1711,0.019286967,0,2,0,1,1,0,0,0,2,0
10,http://www.csdn.net,14,0,5,0,1079,751,1830,0.589617486,0,0,0,0,0,0,0,0,0,0
11,http://www.alipay.com,16,0,5,0,266,770,1036,0.256756757,0,5,0,0,1,0,0,0,1,0
12,http://www.bilibili.com,18,0,5,0,1050,866,1916,0.548016701,1,3,0,0,0,0,0,0,2,0
13,http://www.xinhuanet.com,19,0,5,0,2943,2880,5823,0.505409583,56,8,1,1,0,0,0,0,3,0
14,http://www.tianya.cn,15,0,5,0,0,176,176,0,2,3,0,0,0,0,0,0,1,0
15,http://www.soso.com,14,0,5,0,94,19,113,0.831858407,0,2,0,0,0,0,0,0,0,0
16,http://www.hao123.com,13,3,5,0,0,799,799,0,3,19,0,1,0,0,0,0,4,0
17,http://www.so.com,12,0,5,0,92,161,253,0.363636364,4,13,2,49,6,0,0,0,1,0
18,http://www.babytree.com,18,0,5,0,1080,2255,3335,0.323838081,26,15,0,0,0,0,0,0,7,0
19,http://www.panda.tv,14,0,5,0,498,2942,3440,0.144767442,0,3,0,0,0,0,0,0,1,0
20,http://www.zhihu.com,15,0,5,0,205,78,283,0.724381625,0,0,0,0,0,0,0,0,0,0
21,http://www.google.cn,15,0,5,0,53,0,53,1,0,9,0,0,0,0,0,0,9,0
22,http://www.iqiyi.com,15,0,5,0,261,1413,1674,0.155913978,0,3,0,0,0,0,0,0,1,0
23,http://www.bing.com,14,0,5,0,150,0,150,1,2,13,0,4,23,0,0,0,3,0
24,http://www.zhanqi.tv,15,0,5,0,3280,496,3776,0.868644068,0,11,0,0,0,0,0,0,10,0
25,http://www.1688.com,10,4,5,0,1024,7449,8473,0.120854479,0,4,0,0,0,0,0,0,1,0
26,http://www.cnblogs.com,17,0,5,0,1318,626,1944,0.677983539,0,0,0,0,0,0,0,0,0,0
27,http://www.china.com.cn,17,0,6,0,1019,8194,9213,0.11060458,34,2,0,0,0,0,0,0,2,0
28,http://www.caijing.com.cn,19,0,6,0,253,26,279,0.906810036,4,1,0,0,3,0,0,0,1,0
29,http://www.sogou.com,15,0,5,0,84,3,87,0.965517241,0,3,0,0,0,0,0,0,0,0
30,http://www.people.com.cn,18,0,6,0,836,96,932,0.896995708,70,0,0,1,0,0,0,0,0,0
31,http://www.huanqiu.com,17,0,5,0,533,359,892,0.597533632,0,2,0,0,0,0,0,0,0,0
32,http://www.163.com,10,3,5,0,399,1876,2275,0.175384615,18,45,0,1,0,0,0,0,4,0
33,http://www.douban.com,16,0,5,0,208,584,792,0.262626263,2,41,0,0,0,0,0,0,0,0
34,http://www.rednet.cn,15,0,5,0,990,870,1860,0.532258065,0,0,0,0,0,0,0,0,0,0
35,http://www.ci123.com,12,3,5,0,2321,330,2651,0.875518672,5,2,0,0,0,0,0,0,0,0
36,http://www.aliyun.com,16,0,5,0,156,2892,3048,0.051181102,0,0,0,0,0,0,0,0,0,0
37,http://www.yy.com,12,0,5,0,441,790,1231,0.358245329,3,1,0,0,0,0,0,0,1,0
38,http://www.mama.cn,13,0,5,0,2273,238,2511,0.905217045,0,4,0,1,0,0,0,0,4,0
39,http://www.youdao.com,16,0,5,0,120,478,598,0.200668896,2,0,0,0,0,0,0,0,0,0
40,http://www.douyu.com,15,0,5,0,170,2287,2457,0.069190069,1,0,0,1,0,0,0,0,0,0
41,http://www.chinadaily.com.cn,22,0,6,0,3564,396,3960,0.9,36,1,0,0,0,0,0,0,0,0
42,http://www.amazon.cn,15,0,5,0,247,1653,1900,0.13,0,1,0,0,0,0,0,0,1,0
43,http://www.baike.com,15,0,5,0,120,3497,3617,0.033176666,2,1,0,0,1,0,0,0,0,0
44,http://www.jianshu.com,17,0,5,0,21,1113,1134,0.018518519,0,1,0,0,0,0,0,0,1,0
45,http://www.51sole.com,14,2,5,0,1605,1848,3453,0.464813206,0,2,0,3,0,0,0,0,1,0
46,http://www.jrj.com.cn,15,0,6,0,0,24,24,0,34,1,0,0,0,0,0,0,1,0
47,http://www.17ok.com,12,2,5,0,0,78,78,0,0,2,0,0,0,0,0,0,2,0
48,http://www.youth.cn,14,0,5,0,1436,3300,4736,0.303209459,0,0,0,0,2,0,0,0,0,0
49,http://www.ifeng.com,15,0,5,0,1922,9948,11870,0.161920809,11,25,1,4,1,0,0,0,17,0
50,http://www.oeeee.com,15,0,5,0,2560,2528,5088,0.503144654,1,8,0,0,0,0,0,0,7,0
51,http://www.3dmgame.com,16,1,5,0,2079,792,2871,0.724137931,0,0,0,0,0,0,0,0,0,0
52,http://www.cqnews.net,16,0,5,0,10914,918,11832,0.922413793,4,5,3,0,3,0,0,0,5,0
53,http://www.huaban.com,16,0,5,0,838,3955,4793,0.174838306,0,3,0,0,0,0,0,0,0,0
54,http://www.gome.com.cn,16,0,6,0,288,1260,1548,0.186046512,1,2,1,0,0,0,0,0,0,0
55,http://www.zol.com.cn,15,0,6,0,3774,814,4588,0.822580645,3,138,0,1,0,0,0,0,136,0
56,http://www.6.cn,9,1,5,0,190,4750,4940,0.038461538,0,5,0,1,0,0,0,0,3,0
57,http://www.gamersky.com,18,0,5,0,12828,78,12906,0.993956299,0,1,1,0,0,0,0,0,0,0
58,http://www.cdstm.cn,14,0,5,0,6591,520,7111,0.926873857,4,17,0,1,4,0,0,0,5,0
59,http://www.wtoip.com,15,0,5,0,13776,2706,16482,0.835820896,2,10,4,2,0,0,0,0,5,0
60,http://www.toutiao.com,17,0,5,0,756,1090,1846,0.409534128,0,1,0,0,0,0,0,0,0,0
61,http://www.nga.cn,12,0,5,0,257,2535,2792,0.092048711,0,2,0,0,0,0,0,0,0,0
62,http://www.huya.com,14,0,5,0,1672,6198,7870,0.212452351,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
63,http://www.jiameng.com,17,0,5,0,24203,1665,25868,0.935634761,0,1,0,0,2,0,0,0,0,0
64,http://www.58.com,10,2,5,0,598,4738,5336,0.112068966,0,1,0,0,0,0,0,0,1,0
65,http://www.smzdm.com,15,0,5,0,5452,7144,12596,0.432835821,2,25,0,0,0,0,0,0,6,0
