URL,inner,out,sum,bili,lebal
www.espdesign.com.au,0,3,3,0,0
www.slightlyoffcenter.net,8,0,8,1,0
tubemoviez.com,246,66,312,0.788461538,0
www.pos-kupang.com,0,8,8,0,0
www.rupor.info,955,1379,2334,0.409168809,0
www.sunlux.net,12,22,34,0.352941176,0
parking.zunmi.cn,13,2337,2350,0.005531915,0
www.outporn.com,0,390,390,0,0
www.timothycopus.aimoo.com,14,0,14,1,0
www.interia.pl,384,3072,3456,0.111111111,0
www.ruiyangcn.com,0,16,16,0,0
zkic.com,280,38,318,0.880503145,0
www.juicypussyclips.com,21,42,63,0.333333333,0
parking.zunmi.cn,22,4771,4793,0.004590027,0
www.nuptialimages.com,0,23,23,0,0
www.bezproudoff.cz,0,25,25,0,0
www.hotspot.cz,0,55,55,0,0
www.www.gmcjjh.org,0,29,29,0,0
www.hlinik-nerez.cz,1568,248,1816,0.863436123,0
www.nordiccountry.cz,0,32,32,0,0
www.nowina.info,403,68,471,0.855626327,0
www.obada-konstruktiwa.org,0,35,35,0,0
www.obada-konstruktiwa.org,0,37,37,0,0
www.otylkaaotesanek.cz,349,0,349,1,0
www.pension-helene.cz,323,0,323,1,0
www.podzemi.myotis.info,41,0,41,1,0
www.smrcek.com,383,344,727,0.526822558,0
www.spekband.com,0,44,44,0,0
www.worldgymperu.com,0,46,46,0,0
www.hugedomains.com,1387,240,1627,0.852489244,0
www.aviasales.ru,2392,4732,7124,0.335766423,0
realinnovation.com,494,823,1317,0.375094913,0
1.1.1.3,56,55,111,0.504504505,0
404.szm.com,284,513,797,0.356336261,0
www.noveslovo.com,927,232,1159,0.799827437,0
www.dimsnetwork.com,0,59,59,0,0
ww1.luckyblank.info,0,60,60,0,0
parking.zunmi.cn,63,12408,12471,0.00505172,0
www.nudebeachgalleries.net,0,64,64,0,0
parking.zunmi.cn,66,13395,13461,0.004903053,0
achren.org,0,68,68,0,0
www.associatesexports.com,0,70,70,0,0
www.antalya.ru,0,73,73,0,0
www.unalbilgisayar.com,858,0,858,1,0
www.unalbilgisayar.com,9680,640,10320,0.937984496,0
www.baidu.com,322,1296,1618,0.199011125,0
www.espdesign.com.au,0,9,9,0,0
www.kalantzis.net,5,0,5,1,0
www.slightlyoffcenter.net,12,0,12,1,0
www.hugedomains.com,504,60,564,0.893617021,0
www.oprahsearch.com,0,15,15,0,0
www.hugedomains.com,588,72,660,0.890909091,0
www.nadegda-95.ru,664,95,759,0.87483531,0
www.romsigmed.ro,0,60,60,0,0
www.spatsz.com,819,0,819,1,0
www.svetyivanrilski.com,674,45,719,0.937413074,0
www.titon.info,0,24,24,0,0
www.vivaweb.org,159,0,159,1,0
www.warco.pl,223,56,279,0.799283154,0
www.bde.be,29,57,86,0.337209302,0
www.bde.be,0,30,30,0,0
www.pwvita.pl,765,288,1053,0.726495726,0
www.roks.ua,847,66,913,0.927710843,0
www.skgroup.kiev.ua,475,68,543,0.874769797,0
www.tecnocuer.com,0,35,35,0,0
www.tk-gregoric.si,407,0,407,1,0
www.tomalinoalambres.com.ar,79,1833,1912,0.041317992,0
www.womenslabour.org,0,41,41,0,0
wroclawski.com.pl,2451,860,3311,0.74025974,0
www.xoomer.alice.it,0,44,44,0,0
