URL,inner,out,sum,bili,label
www.baidu.com,4,18,22,0.181818182,1
www.qq.com,62,114,176,0.352272727,1
www.tmall.com,27,209,236,0.11440678,1
www.taobao.com,16,132,148,0.108108108,1
www.sohu.com,950,1934,2884,0.329403606,1
www.jd.com,70,357,427,0.163934426,1
weibo.com,32,1076,1108,0.028880866,1
www.sina.com.cn,9,0,9,1,1
www.360.cn,33,1678,1711,0.019286967,1
www.csdn.net,1079,751,1830,0.589617486,1
www.alipay.com,266,770,1036,0.256756757,1
www.bilibili.com,1050,866,1916,0.548016701,1
www.xinhuanet.com,2943,2880,5823,0.505409583,1
passport.tianya.cn,0,176,176,0,1
www.soso.com,94,19,113,0.831858407,1
www.hao123.com,0,799,799,0,1
www.so.com,92,161,253,0.363636364,1
www.babytree.com,1080,2255,3335,0.323838081,1
www.panda.tv,498,2942,3440,0.144767442,1
www.zhihu.com,205,78,283,0.724381625,1
www.google.cn,53,0,53,1,1
www.iqiyi.com,261,1413,1674,0.155913978,1
cn.bing.com,150,0,150,1,1
www.zhanqi.tv,3280,496,3776,0.868644068,1
www.1688.com,1024,7449,8473,0.120854479,1
www.cnblogs.com,1318,626,1944,0.677983539,1
www.china.com.cn,1019,8194,9213,0.11060458,1
www.caijing.com.cn,253,26,279,0.906810036,1
www.sogou.com,84,3,87,0.965517241,1
www.people.com.cn,836,96,932,0.896995708,1
www.huanqiu.com,533,359,892,0.597533632,1
www.163.com,399,1876,2275,0.175384615,1
www.douban.com,208,584,792,0.262626263,1
www.rednet.cn,990,870,1860,0.532258065,1
www.ci123.com,2321,330,2651,0.875518672,1
www.aliyun.com,156,2892,3048,0.051181102,1
www.yy.com,441,790,1231,0.358245329,1
www.mama.cn,2273,238,2511,0.905217045,1
www.youdao.com,120,478,598,0.200668896,1
www.douyu.com,170,2287,2457,0.069190069,1
www.chinadaily.com.cn,3564,396,3960,0.9,1
www.amazon.cn,247,1653,1900,0.13,1
www.baike.com,120,3497,3617,0.033176666,1
www.jianshu.com,21,1113,1134,0.018518519,1
www.51sole.com,1605,1848,3453,0.464813206,1
www.jrj.com.cn,0,24,24,0,1
www.17ok.com,0,78,78,0,1
www.youth.cn,1436,3300,4736,0.303209459,1
www.ifeng.com,1922,9948,11870,0.161920809,1
www.oeeee.com,2560,2528,5088,0.503144654,1
www.3dmgame.com,2079,792,2871,0.724137931,1
www.cqnews.net,10914,918,11832,0.922413793,1
huaban.com,838,3955,4793,0.174838306,1
www.gome.com.cn,288,1260,1548,0.186046512,1
www.zol.com.cn,3774,814,4588,0.822580645,1
www.6.cn,190,4750,4940,0.038461538,1
www.gamersky.com,12828,78,12906,0.993956299,1
www.cdstm.cn,6591,520,7111,0.926873857,1
www.wtoip.com,13776,2706,16482,0.835820896,1
www.toutiao.com,756,1090,1846,0.409534128,1
www.nga.cn,257,2535,2792,0.092048711,1
www.huya.com,1672,6198,7870,0.212452351,1
www.jiameng.com,24203,1665,25868,0.935634761,1
nj.58.com,598,4738,5336,0.112068966,1
www.smzdm.com,5452,7144,12596,0.432835821,1
www.alibaba.com,1225,7053,8278,0.147982604,1
www.scol.com.cn,7647,1400,9047,0.84525257,1
www.admaimai.com,12058,156,12214,0.987227771,1
www.jqw.com,5611,636,6247,0.898191132,1
www.umeng.com,432,3721,4153,0.10402119,1
www.k618.cn,1210,2695,3905,0.309859155,1
www.dianping.com,448,3190,3638,0.123144585,1
www.hupu.com,944,7493,8437,0.111888112,1
www.126.com,120,1259,1379,0.087019579,1
www.xiami.com,488,11890,12378,0.039424786,1
www.360doc.com,797,0,797,1,1
www.runoob.com,881,628,1509,0.583830351,1
www.jb51.net,5760,768,6528,0.882352941,1
www.cnbeta.com,1105,14495,15600,0.070833333,1
www.oschina.net,4554,792,5346,0.851851852,1
segmentfault.com,6048,1972,8020,0.754114713,1
www.178.com,8762,3519,12281,0.713459816,1
www.mydrivers.com,2725,3780,6505,0.418908532,1
www.ali213.net,9583,3053,12636,0.758388731,1
www.feng.com,5181,288,5469,0.94733955,1
www.mi.com,365,4014,4379,0.083352364,1
www.tencent.com,2025,375,2400,0.84375,1
www.chiphell.com,10336,988,11324,0.912751678,1
www.firefox.com.cn,2613,231,2844,0.918776371,1
www.4399.com,1401,6004,7405,0.189196489,1
www.cnki.net,4582,553,5135,0.892307692,1
www.zhibo8.cc,891,35235,36126,0.024663677,1
www.jmw.com.cn,7864,5002,12866,0.611223379,1
www.51.la,2406,1245,3651,0.658997535,1
www.51cto.com,10667,2100,12767,0.835513433,1
home.firefoxchina.cn,4845,5100,9945,0.487179487,1
weibo.cn,0,601,601,0,1
www.52pojie.cn,3480,2784,6264,0.555555556,1
www.dangdang.com,2022,3864,5886,0.343527013,1
www.chsi.com.cn,1957,1068,3025,0.646942149,1
www.ctrip.com,90,0,90,1,1
www.w3school.com.cn,1273,1727,3000,0.424333333,1
www.familydoctor.com.cn,25568,4140,29708,0.860643598,1
www.bzw315.com,6973,744,7717,0.903589478,1
www.autohome.com.cn,6862,20304,27166,0.252595156,1
www.espdesign.com.au,0,3,3,0,0
www.slightlyoffcenter.net,8,0,8,1,0
tubemoviez.com,246,66,312,0.788461538,0
www.pos-kupang.com,0,8,8,0,0
www.rupor.info,955,1379,2334,0.409168809,0
www.sunlux.net,12,22,34,0.352941176,0
parking.zunmi.cn,13,2337,2350,0.005531915,0
www.outporn.com,0,390,390,0,0
www.timothycopus.aimoo.com,14,0,14,1,0
