id,link,zimu_num,shuzi,zifu_num,url_T_zifu_num,inner,out,sum,bili,label,Unnamed: 11
2,http://www.iamagameaddict.com,24,0,5,0,0,0,0,,redirect,
4,http://www.slightlyoffcenter.net,27,0,5,0,0,0,0,,redirect,
5,http://www.tubemoviez.com,20,0,5,0,33,0,33,1,redirect,
8,http://www.rupor.info,16,0,5,0,955,1379,2334,0.4091688,redirect,
9,http://www.officeon.ch.ma/office.js?google_ad_format=728x90_as,44,5,13,5,0,0,0,,redirect,www.venez.fr
11,http://www.outporn.com,17,0,5,0,0,958,958,0,redirect,
12,http://www.timothycopus.aimoo.com,27,0,6,0,32,0,32,1,Trojan,
13,http://www.orbowlada.strefa.pl/text396.htm,31,3,8,0,,,,,redirect,"www.interia.pl,875,8293,9168,0.09544066317626528"
14,http://www.ruiyangcn.com,19,0,5,0,0,0,0,,redirect,
15,http://www.zkic.com,14,0,5,0,640,86,726,0.8815427,redirect,
16,http://www.cracks.vg/d1.php,19,1,7,0,44,88,132,0.3333333,redirect,http://parking.zunmi.cn
17,http://www.juicypussyclips.com,25,0,5,0,,,,,redirect,http://parking.zunmi.cn
18,http://www.nuptialimages.com,23,0,5,0,0,50,50,0,redirect,
19,http://www.bezproudoff.cz,20,0,5,0,51,0,51,1,redirect,
20,http://www.ceskarepublika.net,24,0,5,0,,,,,redirect,parking.zunmi.cn
21,http://www.hotspot.cz,16,0,5,0,0,107,107,0,redirect,
22,http://www.gmcjjh.org/DHL,19,0,6,0,0,0,0,,Trojan,
23,http://www.nerez-schodiste-zabradli.com,32,0,7,2,,,,,redirect,"www.hlinik-nerez.cz,2843,336,3179,0.8943063856558666"
24,http://www.nordiccountry.cz,22,0,5,0,0,0,0,,redirect,
25,http://www.nowina.info,17,0,5,0,850,330,1182,0.7208,redirect,
29,http://www.pension-helene.cz,22,0,6,1,692,0,692,0,redirect,
30,http://www.podzemi.myotis.info,24,0,6,0,156,0,156,1,redirect,
31,http://www.smrcek.com,16,0,5,0,712,720,1432,0.4972,redirect,
34,http://www.zgsysz.com,16,0,5,0,,,,,redirect,"www.hugedomains.com,2799,510,3309,0.8458748866727108"
35,http://www.oknarai.ru,16,0,5,0,1505,6302,7807,0.1927757,redirect,
36,http://www.realinnovation.com/css/menu.js,33,0,8,0,0,190,190,0,redirect,
37,http://www.hardcorepornparty.com,27,0,5,0,,,,,redirect,
38,http://www.zous.szm.sk,16,0,6,0,415,831,1246,0.33306,redirect,
39,http://www.noveslovo.com,19,0,5,0,1568,522,2090,0.75023,redirect,
41,http://www.luckyblank.info,21,0,5,0,http://parking.zunmi.cn,,,,redirect,http://parking.zunmi.cn
44,http://www.luckyeffect.info,22,0,5,0,http://parking.zunmi.cn,,,,redirect,
45,http://www.luckyhalo.info,20,0,5,0,http://parking.zunmi.cn,,,,redirect,
46,http://www.luckypure.info,20,0,5,0,http://parking.zunmi.cn,,,,redirect,
47,http://www.luckyshine.info,21,0,5,0,http://parking.zunmi.cn,,,,redirect,
48,http://www.luckysuccess.info,23,0,5,0,http://parking.zunmi.cn,,,,redirect,
49,http://www.luckysure.info,20,0,5,0,http://parking.zunmi.cn,,,,redirect,
50,http://www.luckytidy.info,20,0,5,0,http://parking.zunmi.cn,,,,redirect,
52,http://www.buffalogoesout.com,24,0,5,0,,,,,redirect,
58,http://www.unalbilgisayar.com,24,0,5,0,,,,,redirect,
61,http://www.semengineers.com,22,0,5,0,,,,,redirect,
63,http://www.tendersource.com,22,0,5,0,,,,,redirect,
64,http://www.traff1.com/in.cgi?5,20,2,8,1,,,,,Trojan,
66,http://www.oprahsearch.com/scripts/net19.exe,34,2,8,0,,,,,Trojan,
67,http://www.somnoy.com,16,0,5,0,hugedomains,,,,redirect,
68,http://www.nadegda-95.ru,16,2,6,1,,,,,redirect,
69,http://www.romsigmed.ro,18,0,5,0,,,,,redirect,
70,http://www.spatsz.com,16,0,5,0,,,,,redirect,
71,http://www.svetyivanrilski.com,25,0,5,0,,,,,redirect,
73,http://www.tophostbg.net,19,0,5,0,,,,,redirect,
74,http://www.vivaweb.org,17,0,5,0,,,,,redirect,
75,http://www.vocational-training.us,27,0,6,1,,,,,redirect,
76,http://www.warco.pl,14,0,5,0,,,,,redirect,
77,http://www.bde.be,12,0,5,0,,,,,redirect,
78,http://www.pwvita.pl,15,0,5,0,,,,,redirect,
79,http://www.roks.ua,13,0,5,0,,,,,redirect,
80,http://www.skgroup.kiev.ua,20,0,6,0,,,,,redirect,
82,http://www.tk-gregoric.si,19,0,6,1,,,,,redirect,
83,http://www.tomalinoalambres.com.ar,28,0,6,0,,,,,redirect,
87,http://www.update.51edm.net/20090728/01.dll,22,12,9,0,,,,,Trojan,
88,http://www.update.51edm.net/20090728/01.kdg,22,12,9,0,,,,,Trojan,
89,http://www.xiruz.kit.net/mola.jpg,25,0,8,0,,,,,Trojan,
