id,link,zimu_num,shuzi,zifu_num,label
99,http://0koryu0.easter.ne.jp,19,2,6,redirect
560,http://4dexports.com/images/wav1.exe,27,2,7,Trojan
615,http://6b8a953b2bf7788063d5-6e453f33ecbb90f11a62a5c376375af3.r71.cf5.rackcdn.com/Videos%20Player.mp4.exe,52,40,12,Trojan
127,http://a.update.51edm.net/20100223/01.kdg?md5=ab2676ca2190bc21abcba6e5f5b3b2a7,38,29,11,Trojan
53,http://achren.org,13,0,4,redirect
842,http://acool.csheaven.com/okoassetch/buweegnogr/ereedrimtu/files/,55,0,10,Trojan
96,http://adgallery.whitehousedrugpolicy.gov/members/Miley-Cyrus-Nude/default.aspx,68,0,11,Trojan
504,http://ads.wikipartes.com/all/test.php,30,0,8,redirect
499,http://aippnetworks.com/plugins/authentication/joomla/aviancataca/aviancatacafreeticket.php,81,0,10,Trojan
175,http://alissonluis-musico.sites.uol.com.br/mar.jpg,40,0,10,Trojan
162,http://allxscan.tk/ddt/load.php?f=1&e=4,26,2,11,Trojan
547,http://ama-alliance.com/inddex.html,28,0,7,Trojan
550,http://ama-alliance.com/index.zip,26,0,7,Trojan
732,http://amazingvacationhotels.com/wp-content/themes/HotelWeb2/connect/mac.exe,64,1,11,Trojan
928,http://amazon-sicherheit.kunden-ueberpruefung.xyz,42,0,7,Phishing
730,http://americancareconcept.com/modules/webstat/rechnungonline_telekom_rt/2014_05_rechnungonline_8290155236sign.zip,84,16,14,Trojan
731,http://americancareconcept.com/modules/webstat/rechnungonline_telekom_rt/2014_05_rechnungonline_8290155236sign.zip,84,16,14,Trojan
209,http://analxxxclipsyjh.dnset.com/latest/amateur_dog_sex_01.avi.exe,52,2,12,Trojan
559,http://anshrit.com/images/m216.exe,24,3,7,Trojan
55,http://antalya.ru/links/,18,0,6,redirect
740,http://arkinsoftware.in/images/aveksynkens.exe,39,0,7,Trojan
739,http://arkinsoftware.in/images/inexsabit.exe,37,0,7,Trojan
738,http://arkinsoftware.in/images/nukotobne.exe,37,0,7,Trojan
917,http://art-archiv.ru/images/animated-number/docum-arhiv.exe,48,0,11,Trojan
833,http://asham.tourstogo.us/oadirteeph/eeroaghyss/evoarsoshi/files/,55,0,10,Trojan
54,http://associatesexports.com,24,0,4,redirect
881,http://atlcourier.com/wp-content/plugins/cached_data/k1.exe,47,1,11,Trojan
867,http://atyss.barginginfrance.net/aseerteert/ootoorezav/olaweersyb/files/,62,0,10,Trojan
909,http://avokka.com/Panel/dl.exe,23,0,7,Trojan
910,http://avokka.com/Panel/gate.php,25,0,7,Trojan
750,http://axisbuild.com/111,16,3,5,Trojan
864,http://azoos.csheaven.com/eechoawoap/rissupsuns/bigleeptuf/files/,55,0,10,Trojan
131,http://bargainracks.co.uk/img/common/1x2.gif,33,2,9,Trojan
509,http://batcoroadlinescorporation.com/concedes/diggers.exe,50,0,7,Trojan
227,http://bbs.bjchun.com/report.htm,25,0,7,redirect
77,http://bde.be,9,0,4,redirect
749,http://beautysafari.com/111,19,3,5,Trojan
741,http://beespace.com.ua/hook/hookkey.exe,31,0,8,Trojan
118,http://be-funk.com/?kkk=bleach-244-english-sub,32,3,11,redirect
172,http://beldiplomcom.75.com1.ru/loading.php?spl=mdac,38,3,10,Trojan
19,http://bezproudoff.cz,17,0,4,redirect
413,http://bizzibeans.net/wp-admin/zope/,28,0,8,Trojan
414,http://bizzibeans.net/wp-admin/zope/adobe_flash.exe,41,0,10,Trojan
130,http://blacknite.eu/cracking/Pelite.EXE,32,0,7,Trojan
250,http://bluecutsystem.com/load3.exe,27,1,6,Trojan
876,http://boogu.barginginfrance.net/peehejoaty/avugnemtee/hibygnoars/files/,62,0,10,Trojan
549,http://boschetto-hotel.gr/inddex.html,30,0,7,Trojan
552,http://boschetto-hotel.gr/index.zip,28,0,7,Trojan
561,http://bracbetul.com/images/sh-pdf.exe,30,0,8,Trojan
428,http://bride1.com/File/www.fotosupload.com/fotosuploadcominfidelidadfotos2dediciembreparaquenoquedendudasc.zip,98,2,10,Trojan
52,http://buffalogoesout.com,21,0,4,redirect
908,http://buildviet.info/servicer/fattura/,32,0,7,Trojan
92,http://callingcardsinstantly.com/webalizer/050709wareza/crack=17=keygen=serial.html,64,8,11,redirect
754,http://campamento.queenscamp.com/yuppie/staying,40,0,7,Trojan
110,http://cannabislyric.com/,20,0,5,redirect
109,http://cannabispicture.com/,22,0,5,redirect
726,http://centralwestwater.com.au/Conto.zip,33,0,7,Trojan
729,http://centralwestwater.com.au/Conto.zip?gZ5lXOdeRY7y,43,2,8,Trojan
725,http://centralwestwater.com.au/Dettagli_Fatture.zip,43,0,8,Trojan
728,http://centralwestwater.com.au/Dettagli_Fatture.zip?aladinodepaulis@uniadriatica.it,72,0,11,Trojan
724,http://centralwestwater.com.au/Estratto/Dati.zip,40,0,8,Trojan
727,http://centralwestwater.com.au/Estratto/Dati.zip,40,0,8,Trojan
20,http://ceskarepublika.net,21,0,4,redirect
753,http://chaveiro.bio.br/tmp/AcbtReader.exe,33,0,8,Trojan
782,http://chsplantsales.co.uk/werwre56,27,2,6,Trojan
723,http://classicspeedway.com/ff.exe,27,0,6,Trojan
761,http://cmicapui.ce.gov.br/components/com_phocadownload/helpers/modu.exe,59,0,12,Trojan
813,http://coaha.frenchgerlemanelectric.com/atydymulra/psoaptylty/ywhopaptyl/files/,69,0,10,Trojan
566,http://coalimpex.com/web/bg-02.jpg,24,2,8,Trojan
572,http://coalimpex.com/web/bo_02.php,24,2,8,Trojan
570,http://coalimpex.com/web/bo_03.php,24,2,8,Trojan
913,http://coffeol.com/fend/raw_server.exe,30,0,8,Trojan
56,http://conds.ru,11,0,4,redirect
721,http://cope.it/templates/webstat/finanzgruppe_volksbanken_ne/index,56,0,10,Trojan
16,http://cracks.vg/d1.php,16,1,6,redirect
